name,short_description,detail,tags,established_date,size,address,branches,impressum_link,website
Werbeagentur das herz GmbH,Kopf hin oder her – die richtigen Entscheidungen trifft immer das herz!,"Die Werbeagentur das herz GmbH wurde 1998 gegründet und ist in Kronberg im Taunus ansässig. Vorrangig haben wir uns der Gesundheit verschrieben, sind aber auch für Unternehmen anderer Branchen tätig. So betreuen wir u.a. Kunden aus den Bereichen Reise und Touristik sowie der Unterhaltungsindustrie.Dabei erfüllen wir alle Aufgaben einer klassischen Agentur ebenso wie sämtliche Anforderungen der digitalen Welt. Wir konzipieren ungewöhnliche Marketingstrategien, entwickeln Produkte und gestalten Werbemittel oder -materialien jeglicher Art. Wir programmieren Websites und betreuen Social Media-Kanäle. Wir planen Anzeigen-, Außenwerbe- oder Online-Kampagnen und wickeln diese vollständig ab. Wir unterstützen unsere Kunden meist schon in frühen Planungsphasen – etwa bei der Namensfindung von Produkten – und stehen in der Regel für langjährige Partnerschaften, harmonische Arbeitsabläufe und eine stets zuverlässige Abwicklung aller anvertrauten Aufgaben.","Werbung, Marketing, Grafikdesign, Strategie-Entwicklung",1998,5—9,Werbeagentur das herz GmbHD-61476 KronbergDeutschland,"Werbeagenturen
Internetagenturen",,https://www.dasherz.de/
Mhoch4 GmbH & Co. KG,We create content,"Mhoch4 ist eine der führenden Bewegtbild-Agenturen Deutschlands und Teil der renommierten Markenfilm-Gruppe. Das 2005 gegründete Unternehmen mit Standorten in Hamburg, Düsseldorf und Berlin produziert für seine Kunden hochwertigen, passgenauen Bewegtbild-Content für TV, Online und Social Media – von Web-Serien, Image-, und Erklärfilmen bis zu redaktionellen Beiträgen.Dabei bietet Mhoch4 alles aus einer Hand: Strategische Beratung, Redaktion, Produktion, Distribution und Reporting, und das stets performanceorientiert, erfolgsabhängig und auf Wunsch modular.Mhoch4 verfügt über ein exzellentes internationales Mediennetzwerk sowie persönliche Kontakte zu namhaften Redaktionen und Journalisten.Zu den Kundenreferenzen gehören Unternehmen aller Branchen, darunter Allianz, Sixt, Audi, Nestlé, Audi, Costa Kreuzfahrten, Messe Düsseldorf, Stage Entertainment und Zeit Akademie, DKB Handball Bundesliga, sowie zahlreiche renommierte Agenturen.","Bewegtbild, Viceocontent, Redaktion, Werbung, Produktion, Distribution, Print, Beratung",2005,20—49,Mhoch4 GmbH & Co. KGD-20359 HamburgDeutschland,"Werbeagenturen
Film/
Video
Sprecher",https://www.mhoch4.com/impressum/,https://www.mhoch4.com/
Shanghai.Berlin,Werbeagentur,"We are Story Engineers for the Digital Age. Wir entwickeln, bauen, lenken, optimieren Stories für Kunden wie Mercedes-Benz, Panasonic und SCHOTT CERAN.","Story Engineers, Werbeagentur, Berlin, Kreuzberg, Shanghai Family",,20—49,Shanghai.BerlinD-10961 BerlinDeutschland,"Messe
Werbeagenturen
Internetagenturen",http://shanghai.berlin/impressum/,https://shanghai.berlin/
Materna Information & Communications SE,Materna – Full Service für digitale Markeninszenierung mit perfekter Bedienbarkeit und innovativer Technologie,"Materna ist ein Full-Service-Dienstleister im Premium-Segment und realisiert seit fast 4 Jahrzehnten sehr erfolgreiche Projekte. Weltweit arbeiten mehr als 2.000 Mitarbeiter für das Familienunternehmen, darunter hochspezialisierte Berater/innen, Konzepter/innen, Designer/innen, Redakteure/innen und Entwickler/innen.",,1980,1.000 und mehr,Materna Information & Communications SED-10117 BerlinDeutschland,"Internetagenturen
Web-
Konzepter
Corporate Designer",https://www.content-experience.de/,https://www.content-experience.de/
di.team | die innovativen GmbH,Agentur für Online-Marketing,"Spezialist rund um das Thema Online Marketing.Entwicklung von Desktop-, Tablet- und Mobile-Web-Anwendung auf Basis von HTML5, CSS3 und JavaScript (jQuery)Konzeption und Realisation von Webseiten und Online-PortalenEntwicklung von technischen Konzepten und Lösungen sowie verantwortungsvolle Umsetzung","„Back-, Frontend Developer, „sehr gute Kenntnisse in Drupal“, „Wordpress, Typo 3 aktuelle Versionen“, „sehr gute Kenntnisse in PHP, HTML 5, CSS 3, Javascript“, „Webhosting“, „SEO“",2010,5—9,di.team | die innovativen GmbHD-85635 Höhenkirchen-SiegertsbrunnDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://www.di.team/de/impressum,https://di.team/
kleiner und bold GmbH,Inhabergeführte Brandingagentur,"kleiner und bold ist die Transformationsagentur für ganzheitliche Markenführung. Wir entwickeln Marken zu einem agilen Steuerungsinstrument im digitalen Zeitalter. Von der Strategie bis zum Design, von der internen Implementierung neuer Werte bis zur Kommunikation nach außen, begleiten wir unsere Kunden über alle Prozesspunkte hinweg. Aus der Hauptstadt beraten wir seit 2001 Unternehmen wie die ITB, Billy Boy, Q-Cells, DIN und die VHS.",,1992,10—19,kleiner und bold GmbHD-10999 BerlinDeutschland,"Messe
Werbeagenturen
PR-
Agenturen",,http://www.kleinerundbold.com/
Liebchen+Liebchen Kommunikation GmbH,Kommunikation Schwerpunkt B2B,"Wir sind eine inhabergeführte Full-Service-Agentur mit den Schwerpunkten Branding, Markenführung und B2B-Kommunikation. Zu unseren Kunden gehören große internationale Unternehmen und der deutsche Mittelstand. Wir begleiten Unternehmen umfassend: im Blick auf alle Themen, Medien, Kanäle und Touchpoints. In der externen genauso wie in der internen Kommunikation.Mit unseren Teams für Print, Digital und Messe/Event planen, entwickeln und realisieren wir integrierte crossmediale Kommunikationskonzepte. Aktuell arbeiten bei uns 40 Kommunikationsspezialist/innen konzentriert und engagiert für einen wachsenden Kundenstamm.","Print, Text, Digital, Messe/Event, crossmediale Kampagnen",1992,20—49,Liebchen+Liebchen Kommunikation GmbHD-60386 FrankfurtDeutschland,"Messe
Werbeagenturen
Internetagenturen",http://www.lplusl.de,https://www.lplusl.de/
Event Experience GmbH,Online Marketing – Social Media Marketing – Employer Branding – Recruiting,Die Event Experience GmbH mit ihrer Marke Online Experience ist die führende Agentur für Online Marketing – Social Media Marketing – Employer Branding & Social Media Recruiting in unserer Region.Zusammen mit Dir wollen wir in einem wachsenden Markt Gas geben!,"Social Media, Online Marketing, Recruiting, Sales, Vertrieb",2004,10—19,Event Experience GmbHD-58097 HagenDeutschland,"Eventagenturen
Werbeagenturen
Internetagenturen",https://onlineexperience.de/impressum/,https://onlineexperience.de/
Market Pioneers,Amazon Full-Service Agentur,"Die Market Pioneers sind eine Full-Service-Agentur für alle Themen im Amazon-Kosmos. Händler, Hersteller und Marken werden bei strategischen Fragen beraten und im Tagesgeschäft auch operativ unterstützt. Dabei umfassen die Services der Amazon Marketing Agentur unter anderem folgende Bereiche:Amazon Advertising (Sponsored Product, Sponsored Ads, Amazon DSP, Soft Ads)Content & Branding (Amazon SEO, EBC/A+, Brand Stores, Rezensionsmanagement)Daten & Analytics (Monitoring, Automatisierung, Produktdatenmanagement, Marketplace Intelligence)Beratung & StrategieWorkshops & KnowledgeExterner Traffic (Display, Social Media, SEA, E-Mail)Zu den Kunden zählen Händler, Hersteller und Marken aller Art und Größe. Verschiedenste Projekte wurden bereits erfolgreich umgesetzt. Use-Case auf Anfrage.","Amazon Marketing, Amazon, Amazon Agentur, Amazon Full-Service-Agentur, Amazon Beratung, Amazon Hilfe, Amazon Consulting, Amazon SEO, Amazon PPC",2018,10—19,Market PioneersD-22767 HamburgDeutschland,"Werbeagenturen
Internetagenturen
Web-
Konzepter",https://market-pioneers.de/impressum/,https://market-pioneers.de/
FARO Holding GmbH,Wir sind eine Unternehmensgruppe mit mehreren Firmen im Veranstaltungsbereich,FARO (spanisch) – der Leuchtturm.Ein Leuchtturm ist der Fels in der Brandung und bietet auch bei stürmischer See einen Orientierungspunkt. Er steht für Weitsicht und Unterstützung bei großen Abenteuern.​Auch auf die FARO Gruppe aus Berlin ist Verlass. Wir sind die schnelle Eingreiftruppe für nachhaltige und erfolgreiche Unternehmensentwicklung. Wir machen Kunden zu begeisterten Fans und bauen dabei nicht nur erfolgreiche Marken auf. Wir entwickeln Mitarbeiter zu Mitunternehmern.​Dabei unterstützen wir die Teams unserer Tochterunternehmen beim kontinuierlichen Unternehmensaufbau und sorgen für eine eigendynamische Weiterentwicklung in allen Bereichen.Gute Marken halten ihr Versprechen,,2012,100—199,FARO Holding GmbHD-10245 BerlinDeutschland,"Location-
Agenturen
Eventagenturen
Werbeagenturen",https://www.faro-gruppe.de/,https://www.faro-gruppe.de/
ElephantsCanJump GmbH & Co. KG,"Wir sind ElephantsCanJump®, die tierische Werbeagentur für Marken und Menschen aus Dortmund.","Unser Tag beginnt mit der Frage: „Wie begeistert man Menschen?“ und endet mit kreativen Ergebnissen und der Antwort – „Mit Wirkung statt Werbung!“ Wir sind ein Team aus Beratern, Designern, Marketers, Kaufleuten, 3D-Artisten, Textern, Programmierern und aktiven Kaffeekochern – aber vor allem sind wir eins: Menschen, die lieben was sie tun – und wissen wie man Marken in Form bringt.Ob on- oder offline – wir kreieren, skizzieren, animieren, formulieren, präsentieren, programmieren, brillieren, reanimieren, expandieren, kontaktieren, publizieren… für Sie! Bis zum punctum saliens, oder treffender gesagt, bis zum springenden Punkt.Herzlich willkommen bei ElephantsCanJump®","Photoshop, Bildbearbeitung, Marketing, Werbung, Design, Ci, Cd, Werbeagentur, Kommunikation, Agentur",2011,20—49,ElephantsCanJump GmbH & Co. KGD-44137 DortmundDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://www.elephantscanjump.de/impressum.html,https://www.elephantscanjump.de/
WEW Display Design GmbH,Produktions-Agentur für Verkaufs-Displays,"Die WEW Display Design GmbH ist eine Fullsize Produktionsagentur und beschäftigt sich mit der Kreation und Entwicklung von Verkaufslösungen für jede Art von Produkten, als Tisch- und Regaldisplays, Bodendisplays, Shop in Shop- und Ladeneinrichtungen sowie Promotion- und Messe- Einrichtungen.Zu unseren Aufgaben zählen:KreationDesignKonstruktionProjektmanagementMusterbauSerienfertigungTransport- und VerpackungslösungenLogistik und LagerhaltungInstallationAfter Sales Service",,1989,5—9,WEW Display Design GmbHD-25462 RellingenDeutschland,"Werbeagenturen
Illustratoren
Werbung",,http://www.wew-display.de/
Kehrwasser,Webanwendungen und Softwareentwicklung,"Wir sind zusammengeschlossene Freelancer die unter dem Dach der Kehrwasser UG im Bereich E-Commerce und Softwareentwicklung agieren. Suchen einen netten, guten Neuen im Team.","SaaS, PHP, Javascript, HTML5, CSS3, Entwickler",2006,5—9,KehrwasserD-20257 HamburgDeutschland,"Messe
Internetagenturen
Web-
Konzepter",,https://kehrwasser.com/
Connect Internet GmbH,Projektmanagement,"Full-Service-Agentur für lösungsorientierte Designs und Marketingstrategien für Web, Print und Social Media.Ganz gleich, ob Imagebroschüre, Flyer, Logo, Geschäftsausstattung oder Internet-Auftritt in Verbindung mit SEO und Social Media, wir freuen uns auf das große oder kleine Projekt mit Ihnen.",,2000,10—19,Connect Internet GmbHD-76133 KarlsruheDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://connect-kreativagentur.de/de/impressum/,https://connect-kreativagentur.de/
Freund & Freunde e.K.,Werbeagentur,"Kreativagentur für die Konzeption, Umsetzung und Produktion von Werbemaßnahmen, Klassische Werbung, VKF, Direct, Online, Video",,2001,5—9,Freund & Freunde e.K.D-60385 Frankfurt am MainDeutschland,"Werbeagenturen
Internetagenturen",http://www.freundundfreunde.de,https://www.freundundfreunde.de/profil/
Nachlassprofi Deutschland Entrümpelung,entrümpelungsbranche,Wir tätigen Entrümpelungen und Haushaltsauflösungen in ganz Deutschland.,"Entrümpeln, entrümpelung, haushaltsauflösung",2011,200—499,Nachlassprofi Deutschland EntrümpelungD-78234 EngenDeutschland,"Werbeagenturen
Internetagenturen
PR-
Agenturen",https://www.nachlassprofi.com/impressum,https://www.nachlassprofi.com/
Von Übermorgen GmbH,Werbeagentur,"Wir sind vonÜbermorgen – ein Team aus Digital Natives, Nerds und Kreativen. Gemeinsam mit Ihnen entwickeln wir zukunftsorientierte Lösungen im Bereich Web- und App-Entwicklung, Virtual Reality, Film und Motion Design. Darüberhinaus Leisten wir alles, was unsere Kunden für Ihren Erfolg benötigen.Kreative und innovative Ideen sind unsere Stärken, die digitale Welt unser Canvas. Während sich unsere Seite im Aufbau befindet, könnt Ihr uns auf Instagram und Facebook folgen.",,2017,10—19,Von Übermorgen GmbHD-34123 KasselDeutschland,"Typografen/
Layouter
Internetagenturen
PR-
Agenturen",http://www.vonuebermorgen.de/impressum/,http://www.vonuebermorgen.de/
Der frühe Vogel & Freunde GmbH,Kreativagentur,"Der frühe Vogel & Freunde steht für digitale Markenführung mit Fokus auf Design, Web & Performance. Als unabhängiges, interdisziplinäres Kreativ-Ensemble mit exzellenten festen und freien Impulsgebern entwickeln wir ausdrucksstarke und zahlreich ausgezeichnete Kommunikationslösungen, die unseren Kunden Flughöhe verschaffen.",,2013,10—19,Der frühe Vogel & Freunde GmbHD-45309 EssenDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://dfv-f.com/de/impressum/,http://dfv-f.com/
mapsolutions GmbH,Agentur & Verlag für Destinationsmarketing,"Als Full-Service-Agentur und Verlag im Tourismus bieten wir Destinationsmarketing mit allen relevanten Bausteinen: Die strategische Beratung und Realisation von Kommunikationsmedien im Print- und Online- Bereich. Die Herstellung von hochwertigen Karten zu den Themen Wandern, Biken und Freizeit. Broschüren und Flyer zur Gästeinformation. Die Erstellung von Webseiten, Tourenportalen oder Apps. Die Herstellung von Informationstafeln mit individuellen Ständerkonstruktionen für die Tafeln. Die Verbindung von analogen Medien mit digitalen Erlebniswelten (Augmented Reality","Mediengestaltung, Grafik, Kartographie, wordpress, webdesign, Grafikdesign",1997,5—9,mapsolutions GmbHD-76228 KarlsruheDeutschland,"Werbeagenturen
Internetagenturen
PR-
Agenturen",http://www.mapsolutions.de,https://mapsolutions.de/
3301 Designagentur,"Strategie, Design, Kommunikation","3301 ist eine kleine und feine Designagentur aus der Bremer Überseestadt. Seit 2004 arbeiten wir für regionale und nationale Kunden in den Bereichen Markenstrategie, Design und Kommunikation. Angetrieben von der Idee, authentische Markenwelten in einem Kreis aus offen und ehrlich kommunizierenden Menschen mit ausgeprägtem Designanspruch zu entwickeln.Wir sind klein und das sind wir gerne. Denn nur so bleiben wir agil, unabhängig und auf Augenhöhe. Im Kern sind wir zu fünft. Als Teil des We Are Designkollektivs können wir jedoch bereits in der konzeptionellen Phase mit Menschen aus unterschiedlichsten Disziplinen einfach und unkompliziert zusammenarbeiten. Unser Netzwerk besteht aus drei Programmierern, zwei Texterinnen, vier Fotografen, Architekten und Visualisierern, diversen Künstlern und weiteren Freunden.Ob strategische Positionierung, Logoentwicklung im Rahmen des Corporate Design, Entwicklung von komplexen Internetauftritten mit CMS (WordPress oder Typo3) oder eindrucksvolle Printprodukte, wir entwickeln alle Maßnahmen im Rahmen einer ganzheitlichen Markenwelt.Willst du mit uns gemeinsame Sache machen und uns kennenlernen? Fühle dich eingeladen uns anzurufen, eine Mail zu schreiben oder schaue einfach vorbei – auf eine Tasse Tee oder Kaffee.Wir sind gespannt und freuen uns auf dich!","Strategie, Logoentwicklung, Corporate Design, Printdesign, Webdesign, Appdesign, Werbung",2004,5—9,3301 DesignagenturD-28217 BremenDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://www.3301.de/impressum,https://www.3301.de/
QID-Service,"TYPO3, Shopware & WordPress aus Marburg","Wir sind spezialisiert auf die Konzeption, Entwicklung und Betreuung von Content-Management-Sytemen.TYPO3, Wordpress sowie die Webshopsoftware Shopware gehöhren zu unserem täglichen Geschäft.Wir bauen moderne Internetlösungen mit klarer Struktur, guter Benutzerführung und responsivem Webdesign. Technische Basis hierfür sind PHP, MySQL, HTML5, CSS3, jquery usw.Eine unserer Spezialitäten ist Extensionentwicklung für TYPO3.Wir entwickeln, programmieren und betreuen individuelle Internetseiten und -portale.TYPO3, Shopware & WordPress aus Marburg","Typo3, Shopware, WordPress, Cms, Webdesign, Web, SEO, Online, Marburg, Hessen",2008,5—9,QID-ServiceD-35041 MarbburgDeutschland,Internetagenturen,http://www.qid-service.de/impressum/datenschutz.html,http://www.qid-service.de/
Global Team Blue Germany GmbH,Director Human Resources,"GTB Germany ist für den weltweit größten WPP-Kunden Ford zuständig und ist im Ursprung ein Verbund aus den Agenturen Ogilvy, Wunderman und Mindshare. Durch den Zusammenschluss realisiert GTB für den Kunden Ford echte 360 Grad Kommunikation aus einer Hand. Die Zusammenarbeit zahlreicher Disziplinen unter einem Dach – von Kreativen für 360° Kampagnen bis zu Social Media Experten, Analysten, Media-Beratern und Customer Engagement Experten für dialogorientierte und crossmediale Kommunikation – bietet die faszinierende Möglichkeit, kreative Ideen für einen internationalen Kunden kanalübergreifend zu entwickeln und das ganze Potenzial integrierter Kommunikation zu nutzen.","Werbeagentur, Advertising, Automotive, Full Service Agentur",2013,50—99,Global Team Blue Germany GmbHD-40221 DüsseldorfDeutschland,"Werbeagenturen
Screendesign
Corporate Designer",,http://gtb.com/
hi brands GmbH,hybridagentur,hi brands ist die erfolgreiche Symbiose aus Hybridagentur und Produzent mit digitaler Seele.Als Kreativagentur mit hohen Ansprüchen bieten wir unseren Kunden seit 2004 treffsichere Markenkonzepte mit dem entscheidenden Extra.,,,20—49,hi brands GmbHD-90408 NürnbergDeutschland,"Messe
Werbeagenturen
Internetagenturen",https://hi-brands.de/impressum/,https://hi-brands.de/
ScanScore,"Noten scannen, anhören und bearbeiten.","ScanScore | Noten einscannen, abspielen und bearbeitenScanScore ist da!Ab sofort kannst du die neue Notenerkennungssoftware auf unserer Website herunterladen. ScanScore Melody ist eine einfache und unschlagbar günstige Programmversion für einfache Lieder mit einer Notenzeile. Mit ScanScore Ensemble kannst du bis zu vier Notenzeilen auf einmal einscannen, also zum Beispiel einen Chorsatz. Eine Professional-Version, zum Einscannen umfangreicher Orchesterpartituren, wird demnächst veröffentlicht.","Webtools, Software development, Music, sheet music scanner",2018,5—9,ScanScoreD-21447 HandorfDeutschland,"Audio/
Musik
Internetagenturen
Entwicklung
Web-
Konzepter",https://scan-score.com/impressum/,https://scan-score.com/
